color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes,genre_1,genre_2,genre_3,genre_4,genre_5
color,Kathryn Bigelow,157.0,95720716.0,Drama|History|Thriller,Zero Dark Thirty,2012,English,USA,40000000.0,7.4,"Jennifer Ehle,Harold Perrineau,Parker Sawyers",39000,Drama,History,Thriller,None,None
color,Ridley Scott,156.0,105219735.0,Action|Adventure|Drama|History,Robin Hood,2010,English,USA,200000000.0,6.7,"Mark Addy,William Hurt,Scott Grimes",17000,Action,Adventure,Drama,History,None
color,Unknown,156.0,183635922.0,Adventure|Drama|Thriller|Western,The Revenant,2015,English,USA,135000000.0,8.1,"Leonardo DiCaprio,Tom Hardy,Lukas Haas",190000,Adventure,Drama,Thriller,Western,None
color,Michael Bay,154.0,352358779.0,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon,2011,English,USA,195000000.0,6.3,"Glenn Morshower,Lester Speight,Kevin Dunn",46000,Action,Adventure,Sci-Fi,None,None
color,Denis Villeneuve,153.0,60962878.0,Crime|Drama|Mystery|Thriller,Prisoners,2013,English,USA,46000000.0,8.1,"Hugh Jackman,Jake Gyllenhaal,Dylan Minnette",86000,Crime,Drama,Mystery,Thriller,None
color,Marc Webb,153.0,262030663.0,Action|Adventure|Fantasy,The Amazing Spider-Man,2012,English,USA,230000000.0,7.0,"Emma Stone,Andrew Garfield,Chris Zylka",56000,Action,Adventure,Fantasy,None,None
color,Nan,151.0,228430993.0,Adventure|Drama|Sci-Fi,The Martian,2015,English,USA,108000000.0,8.1,"Matt Damon,Donald Glover,Benedict Wong",153000,Adventure,Drama,Sci-Fi,None,None
color,Ridley Scott,150.0,65007045.0,Action|Adventure|Drama,Exodus: Gods and Kings,2014,English,UK,140000000.0,6.1,"Christian Bale,María Valverde,Ben Mendelsohn",51000,Action,Adventure,Drama,None,None
color,Unknown,150.0,182204440.0,Biography|Drama|History|War,Lincoln,2012,English,USA,65000000.0,7.4,"Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill",71000,Biography,Drama,History,War,None
color,Gore Verbinski,144.0,89289910.0,Action|Adventure|Western,The Lone Ranger,2013,English,USA,215000000.0,6.5,"Johnny Depp,Ruth Wilson,Tom Wilkinson",48000,Action,Adventure,Western,None,None
color,David Fincher,149.0,167735396.0,Crime|Drama|Mystery|Thriller,Gone Girl,2014,English,USA,61000000.0,8.1,"Patrick Fugit,Sela Ward,Emily Ratajkowski",146000,Crime,Drama,Mystery,Thriller,None
color,Bryan Singer,149.0,233914986.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past,2014,English,UNITED STATES,200000000.0,8.0,"Jennifer Lawrence,Peter Dinklage,Hugh Jackman",82000,Action,Adventure,Fantasy,Sci-Fi,Thriller
color,Christopher Nolan,148.0,292568851.0,Action|Adventure|Sci-Fi|Thriller,Inception,2010,English,USA,160000000.0,8.8,"Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt",175000,Action,Adventure,Sci-Fi,Thriller,None
